,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
0,,Family Leisure,Economy Class,October 2023,5,5,,5,5,5,5,Yes,20th February 2024,10
1,A321,Family Leisure,Economy Class,February 2024,1,1,,,1,,1,No,12th February 2024,1
2,A319,Business,Business Class,December 2023,2,2,1,3,1,3,1,No,4th February 2024,2
3,,Solo Leisure,Economy Class,January 2024,2,1,1,1,1,1,1,No,2nd February 2024,1
4,,Solo Leisure,Economy Class,January 2024,3,2,2,3,1,1,1,No,31st January 2024,1
5,Boeing 787,Solo Leisure,Business Class,January 2024,5,5,5,3,5,,4,No,28th January 2024,8
6,,Couple Leisure,Economy Class,December 2023,5,5,5,5,5,5,5,Yes,26th January 2024,10
7,,Family Leisure,Economy Class,January 2024,1,1,,,1,,1,No,18th January 2024,1
8,Boeing 777-300ER,Family Leisure,Premium Economy,January 2024,2,3,1,5,2,5,2,Yes,16th January 2024,3
9,,Family Leisure,Premium Economy,December 2023,5,4,4,5,5,3,4,Yes,14th January 2024,10
10,,Family Leisure,Economy Class,December 2023,2,2,1,1,1,1,1,No,11th January 2024,1
11,,Couple Leisure,Economy Class,January 2024,1,1,1,1,1,1,1,No,4th January 2024,1
12,,Business,Business Class,October 2023,4,3,4,4,2,2,2,No,30th December 2023,4
13,Boeing 787,Solo Leisure,Economy Class,December 2023,5,5,3,3,5,,5,Yes,29th December 2023,10
14,Boeing 737-8 MAX,Solo Leisure,Economy Class,December 2023,5,5,4,4,4,1,5,Yes,28th December 2023,9
15,,Family Leisure,Economy Class,December 2023,4,5,,5,5,,5,Yes,28th December 2023,10
16,Boeing 787-9,Business,Business Class,November 2023,5,5,5,5,5,5,5,Yes,25th December 2023,9
17,Boeing 737 Max,Solo Leisure,Business Class,December 2023,5,5,5,5,5,,5,Yes,23rd December 2023,10
18,Bombardier 700,Solo Leisure,Economy Class,December 2023,1,1,,1,1,1,1,No,22nd December 2023,1
19,,Couple Leisure,Economy Class,November 2023,3,5,5,5,4,,4,Yes,10th December 2023,9
20,,Family Leisure,Economy Class,November 2023,3,4,,4,2,,3,Yes,5th December 2023,6
21,,Business,Business Class,October 2023,2,2,2,,1,,1,No,4th December 2023,2
22,Boeing 787-9,Solo Leisure,Economy Class,November 2023,4,5,5,3,5,4,3,Yes,2nd December 2023,9
23,,Family Leisure,Economy Class,November 2023,5,5,5,5,5,5,5,Yes,1st December 2023,10
24,,Couple Leisure,Economy Class,November 2023,3,4,4,4,2,3,1,No,29th November 2023,2
25,,Business,Economy Class,November 2023,4,4,,,1,,1,No,18th November 2023,1
26,A220,Business,Business Class,November 2023,1,1,1,1,1,1,1,No,17th November 2023,1
27,,Couple Leisure,Economy Class,November 2023,5,5,5,1,5,,5,Yes,12th November 2023,9
28,,Solo Leisure,Economy Class,November 2023,1,1,1,2,3,2,2,No,11th November 2023,1
29,,Family Leisure,Economy Class,October 2023,1,1,1,1,1,1,1,No,6th November 2023,1
